country_code,total_arrivals_1995,total_arrivals_1996,total_arrivals_1997,total_arrivals_1998,total_arrivals_1999,total_arrivals_2000,total_arrivals_2001,total_arrivals_2002,total_arrivals_2003,total_arrivals_2004,total_arrivals_2005,total_arrivals_2006,total_arrivals_2007,total_arrivals_2008,total_arrivals_2009,total_arrivals_2010,total_arrivals_2011,total_arrivals_2012,total_arrivals_2013,total_arrivals_2014,total_arrivals_2015,total_arrivals_2016,total_arrivals_2017,total_arrivals_2018,total_arrivals_2019
IDA,15880943.31,18081828.45,19288222.75,20487748.65,21714287.67,23224398.75,24413057.79,26603203.81,27854601.52,32284857.44,33201612.71,37474373.87,44696099.14,48125449.05,50701901.3,55782550.33,53959672.79,58626199.02,62420299.88,66367045.62,72390962.77,71814126.69,78430605.27,93659535.35,101793852.1
IDN,4324000.0,5034000.0,5185000.0,4606000.0,4728000.0,5064000.0,5153000.0,5033000.0,4467000.0,5321000.0,5002000.0,4871000.0,5506000.0,6234000.0,6324000.0,7003000.0,7650000.0,8044000.0,8802000.0,9435000.0,10407000.0,11519000.0,14040000.0,15810000.0,16107000.0
IDX,9898369.141,11446848.79,11789230.68,12219084.18,13448973.93,15298382.92,16027962.3,18393840.63,19006490.68,22581461.23,23520189.17,25962804.81,29665427.71,33551555.34,35075020.81,39943070.32,39452476.22,43798747.6,48731058.91,52121539.59,56521288.67,56088358.13,60897176.71,70833719.94,76844519.62
IND,2124000.0,2288000.0,2374000.0,2359000.0,2482000.0,2649000.0,2537000.0,2384000.0,2726000.0,3457000.0,3919000.0,4447000.0,5082000.0,5283000.0,5168000.0,5776000.0,6309000.0,6578000.0,6968000.0,13107000.0,13284000.0,14570000.0,15543000.0,17423000.0,17914000.0
IRL,4818000.0,5289000.0,5587000.0,6064000.0,6403000.0,6646000.0,6353000.0,6476000.0,6764000.0,6953000.0,7333000.0,8001000.0,8332000.0,8026000.0,7189000.0,7134000.0,7630000.0,7550000.0,8260000.0,8813000.0,9528000.0,10100000.0,10338000.0,10926000.0,10951000.0
IRN,452000.0,573000.0,764000.0,1008000.0,1321000.0,1342000.0,1402000.0,1585000.0,1546000.0,1659000.0,1889000.0,2735000.0,2219000.0,2034000.0,2116000.0,2938000.0,3354000.0,3834000.0,4769000.0,4968000.0,5237000.0,4942000.0,4867000.0,7295000.0,9107000.0
ISL,211000.0,223000.0,223000.0,255000.0,281000.0,328000.0,329000.0,315000.0,348000.0,405000.0,429000.0,477000.0,539000.0,561000.0,563000.0,559000.0,628000.0,765000.0,900000.0,1102000.0,1389000.0,1891000.0,2353000.0,2488000.0,2202000.0
ITA,55706000.0,59805000.0,57998000.0,58499000.0,59521000.0,62702000.0,60960000.0,63561000.0,63026000.0,58480000.0,59230000.0,66353000.0,70271000.0,70719000.0,71692000.0,73225000.0,75866000.0,76293000.0,76762000.0,77694000.0,81068000.0,84925000.0,89931000.0,93228601.56,95399000.0
JAM,1752000.0,1821000.0,1904000.0,1899000.0,2013000.0,2230000.0,2117000.0,2131000.0,2483000.0,2515000.0,2615000.0,3016000.0,2880000.0,2859000.0,2753000.0,2832000.0,3077000.0,3306000.0,3274000.0,3504000.0,3692000.0,3837000.0,4276000.0,4319000.0,4233000.0
JOR,3277000.0,3164000.0,3068000.0,3438000.0,3231000.0,2700000.0,3034000.0,4677000.0,4600000.0,5587000.0,5817000.0,6573000.0,6529000.0,7100000.0,7085000.0,8078000.0,6813000.0,6314000.0,5389000.0,5327000.0,4809000.0,4236000.0,4565000.0,4922000.0,5361000.0
JPN,3345000.0,3837000.0,4218000.0,4106000.0,4438000.0,4757000.0,4772000.0,5239000.0,5212000.0,6138000.0,6728000.0,7334000.0,8347000.0,8351000.0,6790000.0,8611000.0,6219000.0,8358000.0,10364000.0,13413000.0,19737000.0,24040000.0,28691000.0,31192000.0,31882000.0
